Fishery,Response,mean_rev,med_rev,std_rev,Sample,Response_Rate,mean_op,med_op,std_op,op_margin
Channeled Whelk,3,90499,,,23,13,35976,,,
Dogfish,3,48828,,,22,14,2757,,,
Groundfish,7,806754,513837,949888,52,13,348830,204553,412121,39.8
Herring,4,566354,,,6,67,282115,,,
Highly Migratory Species,34,62369,14186,133100,196,17,20104,2818,88254,19.9
Lobster,151,215461,146156,270461,1274,12,78620,55218,130152,37.8
Monkfish,3,103156,,,20,15,498,,,
Scallop,28,905982,993348,704579,227,12,493407,454378,401097,45.7
"Squid, Mackerel, Butterfish",9,895101,655878,936872,60,15,358850,265778,427115,40.5
Striped Bass,12,17744,5853,35688,65,18,10502,4116,25420,70.3
"Summer Flounder, Scup, Black Sea Bass",24,212722,30484,319612,135,18,115178,13751,220120,45.1
