Gear,Category,percent
Dredge_Scallop,Repairs/Upgrades,0.153
Gillnet,Repairs/Upgrades,0.176
Handgear,Repairs/Upgrades,0.422
Longline,Repairs/Upgrades,0.356
Pot/Trap,Repairs/Upgrades,0.235
Seine,Repairs/Upgrades,0.138
Trawl,Repairs/Upgrades,0.211
Dredge_Scallop,Vessel Costs,0.182
Gillnet,Vessel Costs,0.062
Handgear,Vessel Costs,0.162
Longline,Vessel Costs,0.158
Pot/Trap,Vessel Costs,0.082
Seine,Vessel Costs,0.079
Trawl,Vessel Costs,0.11
Dredge_Scallop,Trip Expenses,0.176
Gillnet,Trip Expenses,0.385
Handgear,Trip Expenses,0.227
Longline,Trip Expenses,0.274
Pot/Trap,Trip Expenses,0.345
Seine,Trip Expenses,0.039
Trawl,Trip Expenses,0.271
Dredge_Scallop,Crew Payments,0.423
Gillnet,Crew Payments,0.284
Handgear,Crew Payments,0.123
Longline,Crew Payments,0.145
Pot/Trap,Crew Payments,0.247
Seine,Crew Payments,0.709
Trawl,Crew Payments,0.352
Dredge_Scallop,Overhead,0.066
Gillnet,Overhead,0.093
Handgear,Overhead,0.066
Longline,Overhead,0.066
Pot/Trap,Overhead,0.091
Seine,Overhead,0.035
Trawl,Overhead,0.055
